idCliente,nombre,apellido,cuit,cantidadVentasCobradas
1,Paula,Mayer,20-29353823-0,1
2,Echo,Harris,20-68346622-9,1
3,Emery,Gibbs,20-92420824-1,2
4,Omar,Mccall,20-30019343-1,3
5,Hollee,Guerra,20-58314108-9,1
6,Elizabeth,Baxter,20-43419923-5,1
7,Dennis,Beard,20-75558482-6,1
8,Noelle,Rivas,20-34270247-8,3
9,Cole,Joyner,20-18246048-0,2
10,Blaze,Macias,20-89239217-0,1
11,Yvonne,Simpson,20-24047184-4,3
12,Robert,Nixon,20-57263313-3,3
13,Vaughan,Blackwell,20-90077986-1,0
14,Ariana,Singleton,20-84949553-0,2
15,Zena,Juarez,20-25549350-3,2
16,Leandro,Sobrino,20-39107331-8,1
17,Juan,Alvarez,20-18918918-6,1
